time,USB0,USB1
2021-08-10T18:36:09,50.2,51.9
2021-08-10T18:36:18,50.2,51.9
2021-08-10T18:36:27,50.2,51.9
2021-08-10T18:36:36,50.2,51.9
2021-08-10T18:36:45,50.2,51.9
2021-08-10T18:36:54,50.2,51.9
2021-08-10T18:37:03,50.2,51.9
2021-08-10T18:37:12,50.2,51.9
2021-08-10T18:37:21,50.2,51.9
2021-08-10T18:37:30,50.2,51.9
2021-08-10T18:37:39,50.2,51.9
2021-08-10T18:37:48,50.2,51.9
2021-08-10T18:37:57,50.2,51.9
2021-08-10T18:38:06,50.2,51.9
2021-08-10T18:38:15,50.2,51.9
2021-08-10T18:38:24,50.2,51.9
2021-08-10T18:38:33,50.2,51.9
2021-08-10T18:38:42,50.2,51.9
2021-08-10T18:38:51,50.2,51.9
2021-08-10T18:39:00,50.2,51.9
2021-08-10T18:39:09,50.2,51.9
2021-08-10T18:39:18,50.2,51.9
2021-08-10T18:39:27,50.2,51.9
2021-08-10T18:39:36,50.2,51.9
2021-08-10T18:39:45,50.2,51.9
2021-08-10T18:39:54,50.2,51.9
2021-08-10T18:40:03,50.2,51.9
2021-08-10T18:40:12,50.2,51.9
2021-08-10T18:40:21,50.2,51.9
2021-08-10T18:40:30,50.2,51.9
2021-08-10T18:40:39,50.2,51.9
2021-08-10T18:40:48,50.2,51.9
2021-08-10T18:40:57,50.2,51.9
2021-08-10T18:41:06,50.2,51.9
2021-08-10T18:41:15,50.2,51.9
2021-08-10T18:41:24,50.2,51.9
2021-08-10T18:41:33,50.2,51.9
2021-08-10T18:41:42,50.2,51.9
2021-08-10T18:41:51,50.2,51.9
2021-08-10T18:42:00,50.2,51.9
2021-08-10T18:42:09,50.2,51.9
2021-08-10T18:42:18,50.2,51.9
2021-08-10T18:42:27,50.2,51.9
2021-08-10T18:42:36,50.2,51.9
2021-08-10T18:42:45,50.2,51.9
2021-08-10T18:42:54,50.2,51.9
2021-08-10T18:43:03,50.2,51.9
2021-08-10T18:43:12,50.2,51.9
2021-08-10T18:43:21,50.2,51.9
2021-08-10T18:43:30,50.2,51.9
2021-08-10T18:43:39,50.2,51.9
2021-08-10T18:43:48,50.2,51.9
2021-08-10T18:43:57,50.2,51.9
2021-08-10T18:44:06,50.2,51.9
2021-08-10T18:44:15,50.2,51.9
2021-08-10T18:44:24,50.2,51.9
2021-08-10T18:44:33,50.2,51.9
2021-08-10T18:44:42,50.2,51.9
2021-08-10T18:44:51,50.2,51.9
2021-08-10T18:45:00,50.2,51.9
2021-08-10T18:45:09,50.2,51.9
2021-08-10T18:45:18,50.2,51.9
2021-08-10T18:45:27,50.2,51.9
2021-08-10T18:45:36,50.2,51.9
2021-08-10T18:45:45,50.2,51.9
2021-08-10T18:45:54,50.2,51.9
2021-08-10T18:46:03,50.2,51.9
2021-08-10T18:46:12,50.2,51.9
2021-08-10T18:46:21,50.2,51.9
2021-08-10T18:46:30,50.2,51.9
2021-08-10T18:46:39,50.2,51.9
2021-08-10T18:46:48,50.2,51.9
2021-08-10T18:46:57,50.2,51.9
2021-08-10T18:47:06,50.2,51.9
2021-08-10T18:47:15,50.2,51.9
2021-08-10T18:47:24,50.2,51.9
2021-08-10T18:47:33,50.2,51.9
2021-08-10T18:47:42,50.2,51.9
2021-08-10T18:47:51,50.2,51.9
2021-08-10T18:48:00,50.2,51.9
2021-08-10T18:48:09,50.2,51.9
2021-08-10T18:48:18,50.2,51.9
2021-08-10T18:48:27,50.2,51.9
2021-08-10T18:48:36,50.2,51.9
2021-08-10T18:48:45,50.2,51.9
2021-08-10T18:48:54,50.2,51.9
2021-08-10T18:49:03,50.2,51.9
2021-08-10T18:49:12,50.2,51.9
2021-08-10T18:49:21,50.2,51.9
